,@form
0,1.4495186450502588
1,1.551558251987872
2,1.6415776857703204
3,1.6415776857703204
4,1.6433703062278089
5,1.8037659100968773
6,1.8037659100968773
7,1.9576555836190725
8,1.9576555836190725
9,1.962368893508457
10,1.962368893508457
11,1.9811824250165042
12,2.020708367637128
13,2.0414207787497034
14,2.0414207787497034
15,2.0457091763322173
16,2.0457091763322173
17,2.0457091763322173
18,2.0414207787497034
19,2.0414207787497034
20,2.0414207787497034
21,1.9971815262396957
22,1.9529422737296882
23,1.9213176335844313
24,1.9213176335844313
25,1.9529422737296882
26,1.9971815262396957
27,2.0414207787497034
28,2.0414207787497034
29,2.0414207787497034
30,1.9971815262396957
31,1.9529422737296882
32,1.9213176335844313
33,1.8896929934391746
34,1.7831618491417651
35,1.6766307048443558
36,1.7831618491417651
37,1.7831618491417651
38,1.6766307048443558
39,1.665761547720271
40,1.639947142990525
41,1.6250018953848642
42,1.6250018953848642
43,1.6250018953848642
44,1.6250018953848642
45,1.5777799977641607
46,1.530558100143457
47,1.530558100143457
48,1.530558100143457
49,1.530558100143457
50,1.530558100143457
51,1.530558100143457
52,1.5777799977641607
53,1.6250018953848642
54,1.6250018953848642
55,1.6250018953848642
56,1.6250018953848642
57,1.6250018953848642
58,1.6250018953848642
59,1.6562530010260348
60,1.8224745893265513
61,1.9628471699547159
62,2.3637153966963274
63,2.759181525469119
64,2.80816134334066
65,2.858122996375293
66,2.898157249592491
67,2.937209667646597
68,2.9472741265410107
69,2.962243576112454
70,2.9671485667894837
71,2.9671485667894837
72,2.9695152104527347
73,2.9957674965230745
74,3.0196531389301633
75,3.021302455577807
76,3.021302455577807
77,3.021302455577807
78,3.021302455577807
79,3.0196531389301633
80,2.9957674965230745
81,2.9695152104527347
82,2.9695152104527347
83,2.9695152104527347
84,2.9695152104527347
85,2.9988192644320075
86,3.0257566747480293
87,3.035700417538263
88,3.0456441603284965
89,3.0456441603284965
90,3.051316610365686
91,3.0662554279733345
92,3.0755217955437932
93,3.0755217955437932
94,3.0755217955437932
95,3.0755217955437932
96,3.0755217955437932
97,3.0755217955437932
98,3.0755217955437932
99,3.0755217955437932
100,2.96133155780974
101,2.846929398607087
102,2.822047688534248
103,2.7973778999300087
104,2.7973778999300087
105,2.7973778999300087
106,2.7973778999300087
107,2.7973778999300087
108,2.7973778999300087
109,2.5219741914696225
110,2.245856404536585
111,2.244332921767336
112,2.0891019929546992
113,1.9346804684386605
114,1.9346804684386605
115,1.8816262986079164
116,1.8018830220191848
117,1.7751939152611969
118,1.7466557027605019
119,1.6833448462944083
120,1.6485722023290101
121,1.6437323105324366
122,1.6388924187358629
123,1.6388924187358629
124,1.5662621769214395
125,1.4936319351070162
126,1.4936319351070162
127,1.4897200575999154
128,1.428698041840409
129,1.4174874959801007
130,1.3269764174318182
131,1.3047860229962494
132,1.3047860229962494
133,1.299535948413789
134,1.2925979990557064
135,1.2909101242800847
136,1.2820658570676562
137,1.273221589855228
138,1.273221589855228
139,1.273221589855228
140,1.273221589855228
141,1.273221589855228
142,1.273221589855228
143,1.273221589855228
144,1.271360998480924
145,1.26950040710662
146,1.26950040710662
147,1.26950040710662
148,1.26950040710662
149,1.26950040710662
150,1.26950040710662
151,1.2512551443131326
152,1.2200651352758238
153,1.2200651352758238
154,1.2531157356874365
155,1.273221589855228
156,1.273221589855228
